央视频道,#genre#
CCTV1,http://69.30.245.50/live/cctv1.m3u8
CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub
CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv17hd.m3u8?auth=testpub
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv11hd.m3u8?auth=testpub
CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv15hd.m3u8?auth=testpub
CCTV-高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
CCTV4,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub
CCTV-9,http://38.75.136.137:98/gslb/dsdqpub/cctv9hd.m3u8?auth=testpub
CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv10hd.m3u8?auth=testpub
CCTV2,http://69.30.245.50/live/cctv2.m3u8
CCTV1,http://69.30.245.50/live/cctv10.m3u8
CCTV6,http://69.30.245.50/live/cctv6.m3u8
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV-风云音乐,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub
CCTV-第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
CCTV3,http://69.30.245.50/live/cctv3.m3u8
CCTV3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV6,http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=testpub
CCTV-7,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub
CCTV-9,http://69.30.245.50/live/cctv9.m3u8
CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv12hd.m3u8?auth=testpub
CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv14hd.m3u8?auth=testpub
CCTV-风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
CCTV-风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
CCTV5,http://69.30.245.50/live/cctv5.m3u8
CCTV-7,http://69.30.245.50/live/cctv7.m3u8
CCTV8,http://69.30.245.50/live/cctv8.m3u8
CCTV2,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub
CCTV8,http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub
CCTV-央视台球,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
CCTV-电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
CCTV-超,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CCTV8,http://38.75.136.137:98/gslb/dsdqpub/cctv8hd.m3u8?auth=testpub
CCTV-怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
CCTV-兵器科技,http://38.75.136.137:98/gslb/dsdqpub/gfjs.m3u8?auth=testpub
CCTV-世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub
CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv13hd.m3u8?auth=testpub
CCTV3,http://198.204.228.26/live/cctv3hd.m3u8
CCTV-女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
CCTV4,http://69.30.245.50/live/cctv4.m3u8
CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV-风云足球,http://198.204.228.26/live/fyzq.m3u8
CCTV2,http://198.204.228.26/live/cctv2hd.m3u8
CCTV-世界地理,http://198.204.228.26/live/sjdl.m3u8
CCTV-风云剧场,http://107.150.60.122/live/fyjc.m3u8
CCTV-风云足球,http://107.150.60.122/live/fyzq.m3u8
CCTV-央视文化精品,http://198.204.228.26/live/ysjp.m3u8
CCTV1,http://107.150.60.122/live/cctv17hd.m3u8
CCTV-风云音乐,http://107.150.60.122/live/fyyy.m3u8
CCTV-超,http://107.150.60.122/live/cctv4k.m3u8
CCTV-卫生健康,http://198.204.228.26/live/wsjk.m3u8
CCTV1,http://198.204.228.26/live/cctv1hd.m3u8
CCTV-7,http://198.204.228.26/live/cctv7hd.m3u8
CCTV5,http://198.204.228.26/live/cctv5hd.m3u8
CCTV8,http://198.204.228.26/live/cctv8hd.m3u8
CCTV1,http://198.204.228.26/live/cctv15hd.m3u8
CCTV1,http://198.204.228.26/live/cctv11hd.m3u8
CCTV8,http://198.204.228.26/live/cctv8k.m3u8
CCTV-9,http://198.204.228.26/live/cctv9hd.m3u8
CCTV1,http://198.204.228.26/live/cctv10hd.m3u8
CCTV-风云剧场,http://198.204.228.26/live/fyjc.m3u8
CCTV-超,http://198.204.228.26/live/cctv4k.m3u8
CCTV1,http://198.204.228.26/live/cctv17hd.m3u8
CCTV-高尔夫网球,http://198.204.228.26/live/gefwq.m3u8
CCTV4,http://198.204.228.26/live/cctv4hd.m3u8
CCTV-女性时尚,http://107.150.60.122/live/nxss.m3u8
CCTV-央视台球,http://198.204.228.26/live/ystq.m3u8
CCTV-电视指南,http://198.204.228.26/live/dszn.m3u8
CCTV6,http://198.204.228.26/live/cctv6hd.m3u8
CCTV-第一剧场,http://198.204.228.26/live/dyjc.m3u8
CCTV-怀旧剧场,http://198.204.228.26/live/hjjc.m3u8
CCTV1,http://198.204.228.26/live/cctv12hd.m3u8
CCTV5,http://198.204.228.26/live/cctv5p.m3u8
CCTV1,http://198.204.228.26/live/cctv16hd.m3u8
CCTV1,http://198.204.228.26/live/cctv13hd.m3u8
CCTV-女性时尚,http://198.204.228.26/live/nxss.m3u8
CCTV1,http://198.204.228.26/live/cctv14hd.m3u8
CCTV-第一剧场,http://107.150.60.122/live/dyjc.m3u8
CCTV-风云音乐,http://198.204.228.26/live/fyyy.m3u8
CCTV-兵器科技,http://198.204.228.26/live/gfjs.m3u8
CCTV-电视指南,http://107.150.60.122/live/dszn.m3u8
CCTV-兵器科技,http://107.150.60.122/live/gfjs.m3u8
CCTV8,http://107.150.60.122/live/cctv8hd.m3u8
CCTV-9,http://107.150.60.122/live/cctv9hd.m3u8
CCTV-央视台球,http://107.150.60.122/live/ystq.m3u8
CCTV3,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-超,http://192.151.150.154/live/cctv4k.m3u8
CCTV1,http://107.150.60.122/live/cctv1hd.m3u8
CCTV5,http://107.150.60.122/live/cctv5hd.m3u8
CCTV1,http://192.151.150.154/live/cctv16hd.m3u8
CCTV5,http://107.150.60.122/live/cctv5p.m3u8
CCTV-7,http://107.150.60.122/live/cctv7hd.m3u8
CCTV1,http://107.150.60.122/live/cctv14hd.m3u8
CCTV4,http://107.150.60.122/live/cctv4hd.m3u8
CCTV6,http://107.150.60.122/live/cctv6hd.m3u8
CCTV1,http://107.150.60.122/live/cctv15hd.m3u8
CCTV2,http://192.151.150.154/live/cctv2hd.m3u8
CCTV-兵器科技,http://192.151.150.154/live/gfjs.m3u8
CCTV-怀旧剧场,http://192.151.150.154/live/hjjc.m3u8
CCTV1,http://192.151.150.154/live/cctv1hd.m3u8
CCTV3,http://192.151.150.154/live/cctv3hd.m3u8
CCTV1,http://192.151.150.154/live/cctv13hd.m3u8
CCTV-央视台球,http://192.151.150.154/live/ystq.m3u8
CCTV-第一剧场,http://192.151.150.154/live/dyjc.m3u8
CCTV-高尔夫网球,http://192.151.150.154/live/gefwq.m3u8
CCTV-风云足球,http://192.151.150.154/live/fyzq.m3u8
CCTV1,http://192.151.150.154/live/cctv17hd.m3u8
CCTV-电视指南,http://192.151.150.154/live/dszn.m3u8
CCTV-央视文化精品,http://107.150.60.122/live/ysjp.m3u8
CCTV5,http://192.151.150.154/live/cctv5hd.m3u8
CCTV-7,http://192.151.150.154/live/cctv7hd.m3u8
CCTV-风云音乐,http://192.151.150.154/live/fyyy.m3u8
CCTV6,http://192.151.150.154/live/cctv6hd.m3u8
CCTV-9,http://192.151.150.154/live/cctv9hd.m3u8
CCTV-女性时尚,http://192.151.150.154/live/nxss.m3u8
CCTV1,http://192.151.150.154/live/cctv15hd.m3u8
CCTV-央视文化精品,http://192.151.150.154/live/ysjp.m3u8
CCTV5,http://192.151.150.154/live/cctv5p.m3u8
CCTV1,http://192.151.150.154/live/cctv14hd.m3u8
CCTV-风云剧场,http://192.151.150.154/live/fyjc.m3u8
CCTV8,http://192.151.150.154/live/cctv8k.m3u8
CCTV-世界地理,http://192.151.150.154/live/sjdl.m3u8
CCTV-卫生健康,http://107.150.60.122/live/wsjk.m3u8
CCTV4,http://192.151.150.154/live/cctv4hd.m3u8
CCTV-怀旧剧场,http://107.150.60.122/live/hjjc.m3u8
CCTV1,http://192.151.150.154/live/cctv11hd.m3u8
CCTV1,http://192.151.150.154/live/cctv10hd.m3u8
CCTV1,http://192.151.150.154/live/cctv12hd.m3u8
CCTV-卫生健康,http://192.151.150.154/live/wsjk.m3u8
CCTV1,http://107.150.60.122/live/cctv10hd.m3u8
CCTV1,http://107.150.60.122/live/cctv13hd.m3u8
CCTV1,http://107.150.60.122/live/cctv16hd.m3u8
CCTV1,http://107.150.60.122/live/cctv12hd.m3u8
CCTV1,http://107.150.60.122/live/cctv11hd.m3u8
CCTV8,http://107.150.60.122/live/cctv8k.m3u8
CCTV8,http://192.151.150.154/live/cctv8hd.m3u8
CCTV5,http://223.112.114.228:50080/newlive/live/hls/180/live.m3u8
CCTV1,http://112.30.73.119:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://112.30.73.119:9901/tsfile/live/1423_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://112.30.73.119:9901/tsfile/live/1416_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://112.30.73.119:9901/tsfile/live/1420_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://112.30.73.119:9901/tsfile/live/1422_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://112.30.73.119:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://112.30.73.119:9901/tsfile/live/1421_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://112.30.73.119:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://112.30.73.119:9901/tsfile/live/1419_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://112.30.73.119:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://112.30.73.119:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://112.30.73.119:9901/tsfile/live/1414_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://112.30.73.119:9901/tsfile/live/1425_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://112.30.73.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://112.30.73.119:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://112.30.73.119:9901/tsfile/live/1418_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://112.30.73.119:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://112.30.73.119:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://112.30.73.119:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://112.30.73.119:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://112.30.73.119:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://112.30.73.119:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://112.30.73.119:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://120.76.248.139/live/bfgd/4200000129.m3u8
CCTV8,http://112.30.73.119:9901/tsfile/live/1424_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://120.76.248.139/live/bfgd/4200000066.m3u8
CCTV-9,http://120.76.248.139/live/bfgd/4200000128.m3u8
CCTV8,http://124.77.202.8:49155/624878356
CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
CCTV4,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000132.m3u8
CCTV5,http://124.77.202.8:49155/641886683
CCTV1,http://120.76.248.139/live/bfgd/4200000133.m3u8
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000131.m3u8
CCTV1,http://124.77.202.8:49155/673168256
CCTV1,http://124.77.202.8:49155/673168223
CCTV5,http://124.77.202.8:49155/641886773
CCTV4,http://124.77.202.8:49155/631780421
CCTV7国防军事,http://124.77.202.8:49155/673168121
CCTV1,http://124.77.202.8:49155/624878405
CCTV9纪录,http://124.77.202.8:49155/673168140
CCTV2,http://124.77.202.8:49155/631780532
CCTV6,http://124.77.202.8:49155/624878396
CCTV1,http://124.77.202.8:49155/673168185
CCTV1,http://124.77.202.8:49155/667987558
CCTV4,http://124.223.82.228:89/608807416
CCTV1,http://124.223.82.228:89/624878440
CCTV2,http://207.56.13.146:81/cdnlive/cctv2.m3u8
CCTV4,http://124.223.82.228:89/608807419
CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV5,http://124.223.82.228:89/641886683
CCTV-央视台球,http://207.56.13.146:81/cdnlive/ystq.m3u8
CCTV-风云剧场,http://207.56.13.146:81/cdnlive/fyjc.m3u8
CCTV-风云足球,http://207.56.13.146:81/cdnlive/fyzq.m3u8
CCTV5,http://207.56.13.146:81/cdnlive/cctv5p.m3u8
CCTV1,http://207.56.13.146:81/cdnlive/cctv16.m3u8
CCTV1,http://207.56.13.146:81/cdnlive/cctv17.m3u8
CCTV4,http://207.56.13.146:81/cdnlive/cctv4.m3u8
CCTV8,http://124.223.82.228:89/624878356
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV5,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV6,http://120.76.248.139/live/bfgd/4200000065.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000067.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000130.m3u8
CCTV-7,http://120.76.248.139/live/bfgd/4200000127.m3u8
